,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,6.3,6.75,6.3,6.57,6.57,10100
1,2016-01-05,6.57,6.57,5.22,5.58,5.58,39944
2,2016-01-06,5.67,6.12,5.31,5.31,5.31,14444
3,2016-01-07,5.31,5.31,4.41,4.77,4.77,33456
4,2016-01-08,4.86,5.4,4.68,5.31,5.31,17678
5,2016-01-11,5.58,5.85,5.49,5.49,5.49,13367
6,2016-01-12,5.58,5.85,5.4,5.4,5.4,7489
7,2016-01-13,5.49,5.58,4.32,4.77,4.77,21833
8,2016-01-14,4.68,5.22,4.5,5.04,5.04,13633
9,2016-01-15,4.5,5.85,4.5,4.77,4.77,4311
10,2016-01-19,5.04,5.13,4.68,4.68,4.68,8733
11,2016-01-20,4.68,4.95,4.32,4.5,4.5,13267
12,2016-01-21,4.5,4.95,4.5,4.5,4.5,9800
13,2016-01-22,4.77,5.04,4.68,5.04,5.04,11933
14,2016-01-25,4.91,6.0,4.84,5.38,5.38,37500
15,2016-01-26,5.5,5.5,4.56,4.89,4.89,40300
16,2016-01-27,4.92,4.92,4.69,4.71,4.71,26500
17,2016-01-28,5.04,5.04,4.0,4.13,4.13,171700
18,2016-01-29,3.4,3.8,3.31,3.31,3.31,75400
19,2016-02-01,3.35,3.38,2.85,3.17,3.17,64300
20,2016-02-02,3.18,3.25,2.94,2.94,2.94,90400
21,2016-02-03,3.0,3.25,3.0,3.25,3.25,27200
22,2016-02-04,3.3,4.47,3.3,4.15,4.15,100500
23,2016-02-05,4.18,5.17,4.18,4.75,4.75,170000
24,2016-02-08,5.24,5.24,4.45,4.53,4.53,27700
25,2016-02-09,4.45,4.45,3.3,3.5,3.5,66600
26,2016-02-10,3.5,3.9,3.4,3.72,3.72,53200
27,2016-02-11,3.7,3.73,3.3,3.7,3.7,66300
28,2016-02-12,3.7,3.85,3.65,3.68,3.68,6400
29,2016-02-16,3.68,3.68,3.53,3.53,3.53,10600
30,2016-02-17,3.6,3.67,3.59,3.6,3.6,14500
31,2016-02-18,3.55,3.88,3.55,3.88,3.88,12300
32,2016-02-19,3.98,4.24,3.72,3.81,3.81,26400
33,2016-02-22,3.81,3.84,3.73,3.76,3.76,9900
34,2016-02-23,3.76,3.76,3.43,3.49,3.49,25300
35,2016-02-24,3.49,3.5,3.44,3.5,3.5,800
36,2016-02-25,3.56,3.56,3.56,3.56,3.56,400
37,2016-02-26,3.53,3.53,3.35,3.37,3.37,9000
38,2016-02-29,3.36,3.51,3.36,3.48,3.48,3700
39,2016-03-01,3.5,3.65,3.5,3.65,3.65,700
40,2016-03-02,3.65,3.65,3.65,3.65,3.65,1100
41,2016-03-03,3.67,3.81,3.67,3.81,3.81,1500
42,2016-03-04,3.7,3.7,3.36,3.52,3.52,29500
