,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,5.66,5.66,5.55,5.64,5.090629,126100
1,2016-01-05,5.58,5.58,5.51,5.56,5.018422,52100
2,2016-01-06,5.43,5.46,5.41,5.44,4.910111,25300
3,2016-01-07,5.4,5.48,5.4,5.42,4.892059,46100
4,2016-01-08,5.49,5.51,5.39,5.39,4.864980999999999,63900
5,2016-01-11,5.42,5.45,5.34,5.38,4.855955000000001,71900
6,2016-01-12,5.44,5.45,5.37,5.45,4.919137,107900
7,2016-01-13,5.5,5.52,5.33,5.35,4.828876999999999,67900
8,2016-01-14,5.37,5.44,5.32,5.42,4.892059,98400
9,2016-01-15,5.33,5.37,5.27,5.31,4.792774,70500
10,2016-01-19,5.26,5.29,5.17,5.24,4.729592,113800
11,2016-01-20,5.11,5.13,5.0,5.06,4.567125,184500
12,2016-01-21,5.04,5.17,5.01,5.13,4.630307,158500
13,2016-01-22,5.37,5.48,5.35,5.43,4.901084,85100
14,2016-01-25,5.39,5.41,5.32,5.35,4.828876999999999,93400
15,2016-01-26,5.34,5.46,5.34,5.41,4.883033,67200
16,2016-01-27,5.43,5.49,5.37,5.41,4.883033,71600
17,2016-01-28,5.48,5.53,5.43,5.51,4.973293,63300
18,2016-01-29,5.53,5.67,5.53,5.67,5.117707,55800
19,2016-02-01,5.66,5.77,5.65,5.75,5.189915,46200
20,2016-02-02,5.69,5.74,5.62,5.66,5.108681,65400
21,2016-02-03,5.59,5.6,5.49,5.6,5.054526,67600
22,2016-02-04,5.49,5.59,5.49,5.56,5.018422,22000
23,2016-02-05,5.5,5.5,5.42,5.45,4.919137,117600
24,2016-02-08,5.35,5.42,5.33,5.42,4.892059,41300
25,2016-02-09,5.3,5.32,5.22,5.29,4.774722,38400
26,2016-02-10,5.29,5.31,5.23,5.27,4.75667,23200
27,2016-02-11,5.02,5.08,5.0,5.06,4.567125,49200
28,2016-02-12,5.02,5.13,5.01,5.12,4.621281,318900
29,2016-02-16,5.2,5.23,5.11,5.23,4.720566000000001,81700
30,2016-02-17,5.26,5.32,5.26,5.3,4.783748,95300
31,2016-02-18,5.29,5.32,5.23,5.27,4.75667,31500
32,2016-02-19,5.21,5.24,5.17,5.23,4.720566000000001,60700
33,2016-02-22,5.26,5.32,5.26,5.29,4.774722,57900
34,2016-02-23,5.25,5.25,5.18,5.21,4.702514,570100
35,2016-02-24,5.09,5.16,5.03,5.14,4.639333000000001,49200
36,2016-02-25,5.16,5.18,5.13,5.15,4.648358999999999,69600
37,2016-02-26,5.35,5.37,5.24,5.28,4.765696,122900
38,2016-02-29,5.22,5.31,5.21,5.24,4.729592,82400
39,2016-03-01,5.34,5.45,5.34,5.43,4.901084,61700
40,2016-03-02,5.34,5.43,5.34,5.43,4.901084,27200
41,2016-03-03,5.39,5.48,5.39,5.48,4.946214,48200
42,2016-03-04,5.75,5.86,5.75,5.8,5.2350449999999995,60700
43,2016-03-07,5.62,5.74,5.6,5.69,5.135758999999999,38100
44,2016-03-08,5.66,5.69,5.64,5.66,5.108681,38400
45,2016-03-09,5.58,5.61,5.54,5.58,5.036473,47600
46,2016-03-10,5.38,5.41,5.2,5.28,4.765696,23100
47,2016-03-11,5.35,5.35,5.27,5.3,4.783748,33000
48,2016-03-14,5.45,5.47,5.41,5.43,4.901084,98400
49,2016-03-15,5.29,5.35,5.29,5.32,4.8018,76700
50,2016-03-16,5.26,5.36,5.24,5.33,4.810825,38700
51,2016-03-17,5.38,5.45,5.34,5.44,4.910111,94600
52,2016-03-18,5.41,5.46,5.35,5.4,4.874007,67600
53,2016-03-21,5.37,5.38,5.32,5.36,4.837903,43500
54,2016-03-22,5.32,5.38,5.3,5.35,4.828876999999999,68600
55,2016-03-23,5.36,5.39,5.3,5.32,4.8018,83000
56,2016-03-24,5.22,5.27,5.21,5.24,4.729592,60700
57,2016-03-28,5.23,5.32,5.23,5.29,4.774722,67800
58,2016-03-29,5.23,5.34,5.21,5.33,4.810825,83200
59,2016-03-30,5.54,5.58,5.46,5.5,4.9642669999999995,91100
60,2016-03-31,5.5,5.54,5.44,5.48,4.946214,686700
61,2016-04-01,5.3,5.45,5.3,5.45,4.919137,69900
62,2016-04-04,5.43,5.47,5.39,5.42,4.892059,93100
63,2016-04-05,5.28,5.28,5.24,5.26,4.747644,22800
64,2016-04-06,5.21,5.31,5.21,5.31,4.792774,37200
65,2016-04-07,5.28,5.3,5.23,5.27,4.75667,34500
66,2016-04-08,5.33,5.37,5.31,5.31,4.792774,54200
67,2016-04-11,5.51,5.52,5.46,5.46,4.928163,82400
68,2016-04-12,5.52,5.56,5.48,5.56,5.018422,36800
69,2016-04-13,5.69,5.69,5.6,5.63,5.0816040000000005,34800
70,2016-04-14,5.61,5.67,5.59,5.59,5.0455,66100
71,2016-04-15,5.91,5.91,5.84,5.84,5.271148999999999,54500
72,2016-04-18,5.8,5.87,5.8,5.87,5.2982260000000005,44800
73,2016-04-19,5.91,5.98,5.9,5.94,5.361408,43900
74,2016-04-20,5.92,5.97,5.91,5.96,5.379459,16400
75,2016-04-21,5.98,6.03,5.93,5.97,5.388485,210700
76,2016-04-22,5.97,5.99,5.93,5.98,5.397511,63200
77,2016-04-25,5.83,5.85,5.81,5.84,5.271148999999999,47300
78,2016-04-26,5.86,5.86,5.81,5.81,5.244071,18500
79,2016-04-27,5.81,5.86,5.81,5.86,5.2892,24400
80,2016-04-28,5.75,5.85,5.72,5.79,5.226018,52900
81,2016-04-29,5.69,5.74,5.65,5.7,5.144785,18700
82,2016-05-02,5.72,5.76,5.67,5.74,5.180889,21600
83,2016-05-03,5.61,5.62,5.54,5.6,5.054526,51100
84,2016-05-04,5.48,5.55,5.45,5.51,4.973293,48800
85,2016-05-05,5.43,5.48,5.43,5.45,4.919137,50500
86,2016-05-06,5.4,5.5,5.4,5.47,4.937189,85300
87,2016-05-09,5.56,5.56,5.46,5.49,4.95524,22100
88,2016-05-10,5.54,5.6,5.52,5.59,5.0455,186100
89,2016-05-11,5.47,5.56,5.47,5.53,4.991344000000001,25700
90,2016-05-12,5.57,5.64,5.5,5.55,5.009397,52800
91,2016-05-13,5.52,5.55,5.49,5.54,5.000369999999999,16900
92,2016-05-16,5.44,5.58,5.44,5.58,5.036473,85200
93,2016-05-17,5.41,5.53,5.38,5.39,4.864980999999999,163400
94,2016-05-18,5.33,5.47,5.31,5.34,4.964456,28000
95,2016-05-19,5.26,5.32,5.19,5.22,4.852894999999999,79500
96,2016-05-20,5.32,5.32,5.26,5.27,4.899379,51200
97,2016-05-23,5.22,5.29,5.22,5.26,4.890082,26700
98,2016-05-24,5.34,5.43,5.34,5.41,5.029533,63100
99,2016-05-25,5.44,5.45,5.41,5.42,5.03883,31300
100,2016-05-26,5.45,5.48,5.43,5.46,5.076017,38600
101,2016-05-27,5.41,5.45,5.38,5.42,5.03883,37900
102,2016-05-31,5.46,5.46,5.39,5.43,5.048126,34700
103,2016-06-01,5.35,5.39,5.34,5.39,5.01094,52700
104,2016-06-02,5.37,5.4,5.37,5.39,5.01094,186200
105,2016-06-03,5.46,5.51,5.4,5.51,5.122501000000001,29300
106,2016-06-06,5.52,5.52,5.47,5.49,5.1039069999999995,226700
107,2016-06-07,5.54,5.57,5.52,5.54,5.150391,59700
108,2016-06-08,5.51,5.56,5.49,5.52,5.131797,28300
109,2016-06-09,5.41,5.42,5.35,5.39,5.01094,20400
110,2016-06-10,5.25,5.3,5.15,5.17,4.806412,67000
111,2016-06-13,5.06,5.13,5.03,5.05,4.694851,45900
112,2016-06-14,5.01,5.02,4.92,4.93,4.58329,138300
113,2016-06-15,4.98,5.02,4.94,4.94,4.592587,126100
114,2016-06-16,4.83,4.99,4.81,4.99,4.6390709999999995,44600
115,2016-06-17,4.97,5.02,4.94,5.01,4.657664,66000
116,2016-06-20,5.18,5.22,5.15,5.16,4.797114,98100
117,2016-06-21,5.19,5.22,5.15,5.19,4.825005,53600
118,2016-06-22,5.23,5.26,5.16,5.16,4.797114,33100
119,2016-06-23,5.3,5.33,5.25,5.32,4.945863,42700
120,2016-06-24,4.84,4.94,4.81,4.83,4.490322,107400
121,2016-06-27,4.68,4.72,4.6,4.7,4.369465,222600
122,2016-06-28,4.81,4.81,4.72,4.79,4.453136,146700
123,2016-06-29,4.8,4.86,4.8,4.85,4.508916,43400
124,2016-06-30,4.86,4.94,4.82,4.93,4.58329,81900
125,2016-07-01,5.01,5.02,4.95,4.97,4.620476999999999,64500
126,2016-07-05,4.9,4.9,4.81,4.83,4.490322,46700
127,2016-07-06,4.73,4.73,4.64,4.7,4.369465,107200
128,2016-07-07,4.75,4.76,4.67,4.69,4.360168,55400
129,2016-07-08,4.84,4.84,4.79,4.82,4.481026,43300
130,2016-07-11,4.95,4.98,4.88,4.88,4.5368059999999995,59500
131,2016-07-12,5.03,5.11,5.02,5.07,4.713444,253400
132,2016-07-13,5.06,5.1,5.03,5.08,4.722741,320500
133,2016-07-14,5.14,5.16,5.11,5.11,4.750630999999999,55200
134,2016-07-15,5.12,5.13,5.07,5.1,4.741333999999999,35300
135,2016-07-18,5.04,5.1,5.03,5.07,4.713444,60100
136,2016-07-19,4.99,5.04,4.97,5.01,4.657664,69700
137,2016-07-20,5.04,5.08,5.02,5.06,4.704147,72300
138,2016-07-21,5.08,5.1,5.04,5.07,4.713444,75700
139,2016-07-22,5.05,5.07,5.03,5.07,4.713444,86200
140,2016-07-25,5.08,5.09,5.04,5.07,4.713444,28500
141,2016-07-26,5.08,5.11,5.05,5.09,4.732037999999999,69700
142,2016-07-27,5.18,5.23,5.11,5.21,4.843598,55200
143,2016-07-28,4.99,5.01,4.92,4.99,4.6390709999999995,46900
144,2016-07-29,5.01,5.04,4.94,4.97,4.620476999999999,33000
145,2016-08-01,4.92,4.96,4.89,4.89,4.546103,47100
146,2016-08-02,4.84,4.88,4.78,4.84,4.499619999999999,94000
147,2016-08-03,4.82,4.86,4.79,4.8,4.462432,57300
148,2016-08-04,4.82,4.83,4.74,4.77,4.4345419999999995,58900
149,2016-08-05,4.82,4.86,4.78,4.8,4.462432,33600
150,2016-08-08,4.84,4.84,4.8,4.83,4.490322,54000
151,2016-08-09,4.9,4.95,4.85,4.91,4.564696,56900
152,2016-08-10,4.97,5.03,4.94,4.96,4.61118,42600
153,2016-08-11,5.07,5.07,4.97,4.99,4.6390709999999995,27300
154,2016-08-12,5.07,5.12,5.01,5.01,4.657664,38500
155,2016-08-15,5.1,5.1,4.99,5.03,4.676258,36000
156,2016-08-16,4.99,5.08,4.98,5.02,4.666961,41800
157,2016-08-17,4.97,4.98,4.93,4.97,4.620476999999999,28800
158,2016-08-18,4.92,4.99,4.92,4.95,4.601883,40600
159,2016-08-19,4.93,4.96,4.88,4.96,4.61118,34600
160,2016-08-22,5.07,5.07,5.03,5.06,4.704147,145200
161,2016-08-23,5.18,5.18,5.08,5.11,4.750630999999999,81700
162,2016-08-24,5.14,5.18,5.06,5.06,4.704147,31200
163,2016-08-25,5.05,5.05,4.98,4.99,4.6390709999999995,42600
164,2016-08-26,4.97,5.05,4.91,4.95,4.601883,54900
165,2016-08-29,4.9,4.95,4.86,4.92,4.573993,98700
166,2016-08-30,4.91,4.96,4.91,4.91,4.564696,60600
167,2016-08-31,5.0,5.01,4.95,5.0,4.6483669999999995,57700
168,2016-09-01,5.11,5.11,5.03,5.06,4.704147,41800
169,2016-09-02,5.15,5.16,5.12,5.14,4.778522,43800
170,2016-09-06,5.12,5.14,5.11,5.14,4.778522,124800
171,2016-09-07,5.19,5.23,5.18,5.22,4.852894999999999,30900
172,2016-09-08,5.15,5.19,5.15,5.18,4.815708,38000
173,2016-09-09,5.14,5.15,5.0,5.03,4.676258,32200
174,2016-09-12,5.03,5.07,4.94,5.07,4.713444,41500
175,2016-09-13,4.95,4.98,4.92,4.94,4.592587,63400
176,2016-09-14,4.88,4.96,4.88,4.93,4.58329,36000
177,2016-09-15,4.87,4.95,4.87,4.93,4.58329,54500
178,2016-09-16,4.86,4.91,4.82,4.9,4.5554,42700
179,2016-09-19,5.01,5.03,4.97,5.0,4.6483669999999995,53200
180,2016-09-20,5.11,5.14,5.05,5.08,4.722741,5997900
181,2016-09-21,5.08,5.17,5.08,5.15,4.787818,138800
182,2016-09-22,5.23,5.34,5.23,5.28,4.908676,112600
183,2016-09-23,5.26,5.28,5.25,5.27,4.899379,21300
184,2016-09-26,5.2,5.2,5.17,5.18,4.815708,56400
185,2016-09-27,5.11,5.18,5.11,5.16,4.797114,150700
186,2016-09-28,5.17,5.2,5.14,5.2,4.834302,96300
187,2016-09-29,5.16,5.19,5.08,5.15,4.787818,59000
188,2016-09-30,5.1,5.21,5.1,5.18,4.815708,60600
189,2016-10-03,5.13,5.18,5.13,5.17,4.806412,35500
190,2016-10-04,5.19,5.24,5.17,5.18,4.815708,46000
191,2016-10-05,5.25,5.26,5.22,5.24,4.8714889999999995,39800
192,2016-10-06,5.2,5.24,5.2,5.22,4.852894999999999,161900
193,2016-10-07,5.16,5.16,5.09,5.16,4.797114,56800
194,2016-10-10,5.13,5.16,5.13,5.15,4.787818,53900
195,2016-10-11,5.21,5.21,5.09,5.12,4.7599279999999995,41700
196,2016-10-12,5.09,5.1,5.05,5.08,4.722741,34500
197,2016-10-13,5.0,5.08,5.0,5.06,4.704147,75300
198,2016-10-14,5.07,5.12,5.05,5.07,4.713444,65000
199,2016-10-17,5.04,5.08,5.04,5.06,4.704147,53400
200,2016-10-18,5.12,5.18,5.1,5.13,4.769225,52200
201,2016-10-19,5.34,5.41,5.32,5.38,5.001643,44600
202,2016-10-20,5.28,5.33,5.26,5.32,4.945863,25100
203,2016-10-21,5.28,5.3,5.23,5.29,4.917973,26500
204,2016-10-24,5.27,5.3,5.25,5.27,4.899379,49000
205,2016-10-25,5.25,5.28,5.23,5.27,4.899379,43100
206,2016-10-26,5.23,5.27,5.2,5.23,4.862191999999999,44000
207,2016-10-27,5.25,5.25,5.22,5.22,4.852894999999999,27500
208,2016-10-28,5.18,5.27,5.18,5.23,4.862191999999999,39200
209,2016-10-31,5.19,5.24,5.19,5.23,4.862191999999999,57500
210,2016-11-01,5.24,5.25,5.21,5.25,4.8807849999999995,536600
211,2016-11-02,5.25,5.26,5.2,5.22,4.852894999999999,915000
212,2016-11-03,5.29,5.33,5.28,5.32,4.945863,4365500
213,2016-11-04,5.27,5.32,5.25,5.31,4.936566,964100
214,2016-11-07,5.34,5.39,5.33,5.38,5.001643,5058000
215,2016-11-08,5.28,5.33,5.25,5.27,4.899379,4641900
216,2016-11-09,5.13,5.22,4.9,5.11,4.750630999999999,4581400
217,2016-11-10,5.0,5.0,4.89,4.96,4.61118,335100
