,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,15.04,15.08,14.87,15.0,11.713899000000001,55400
1,2016-01-05,14.32,14.45,14.13,14.16,11.05792,74500
2,2016-01-06,14.09,14.12,14.0,14.01,10.940782,14000
3,2016-01-07,13.91,13.93,13.75,13.79,10.768978,51800
4,2016-01-08,14.03,14.07,13.99,14.03,10.9564,23400
5,2016-01-11,14.27,14.27,14.07,14.18,11.07354,78700
6,2016-01-12,14.53,14.53,14.35,14.49,11.315627000000001,49100
7,2016-01-13,14.31,14.34,13.99,14.16,11.05792,24300
8,2016-01-14,14.49,14.55,14.35,14.36,11.214108,23100
9,2016-01-15,13.84,13.94,13.75,13.85,10.815835,38800
10,2016-01-19,13.58,13.58,13.43,13.52,10.55813,47800
11,2016-01-20,13.34,13.36,13.01,13.32,10.401943,56900
12,2016-01-21,13.02,13.22,12.97,13.1,10.230139999999999,37800
13,2016-01-22,13.49,13.51,13.3,13.44,10.495654,32700
14,2016-01-25,13.24,13.24,13.05,13.11,10.237949,35300
15,2016-01-26,13.13,13.31,13.13,13.19,10.300422,49300
16,2016-01-27,13.32,13.48,13.18,13.46,10.511273,55900
17,2016-01-28,13.69,13.7,13.54,13.58,10.604984,52400
18,2016-01-29,13.78,14.01,13.75,14.01,10.940782,1249400
19,2016-02-01,13.93,14.17,13.86,14.16,11.05792,37800
20,2016-02-02,14.36,14.45,14.26,14.28,11.151633,21500
21,2016-02-03,14.22,14.39,14.12,14.39,11.237535000000001,39300
22,2016-02-04,14.15,14.36,14.15,14.36,11.214108,9000
23,2016-02-05,14.45,14.55,14.45,14.52,11.339057,29800
24,2016-02-08,14.1,14.1,13.88,14.07,10.987638,32000
25,2016-02-09,13.99,14.01,13.9,13.95,10.893929,10300
26,2016-02-10,13.96,13.98,13.79,13.85,10.815835,6700
27,2016-02-11,13.59,13.75,13.57,13.75,10.737741999999999,11600
28,2016-02-12,13.79,13.87,13.71,13.76,10.745552,12000
29,2016-02-16,14.16,14.32,14.13,14.25,11.128206,14100
30,2016-02-17,14.8,14.96,14.8,14.87,11.61238,26900
31,2016-02-18,15.21,15.21,14.91,14.93,11.659236,16800
32,2016-02-19,14.7,15.12,14.65,14.85,11.596763000000001,8300
33,2016-02-22,14.38,14.43,14.36,14.36,11.214108,14400
34,2016-02-23,14.18,14.18,13.96,13.96,10.901736,12700
35,2016-02-24,13.73,13.93,13.71,13.81,10.784597,13000
36,2016-02-25,14.08,14.08,13.85,13.94,10.886118,11000
37,2016-02-26,14.01,14.03,13.82,13.86,10.823644,12800
38,2016-02-29,13.86,14.13,13.86,14.04,10.964211,27800
39,2016-03-01,14.38,14.5,14.38,14.42,11.260963,18000
40,2016-03-02,14.58,14.69,14.58,14.66,11.448385,31300
41,2016-03-03,15.04,15.07,14.85,14.92,11.651427,22200
42,2016-03-04,15.04,15.22,15.04,15.06,11.760756,4400
43,2016-03-07,15.16,15.41,15.16,15.4,12.026271000000001,8600
44,2016-03-08,15.16,15.18,14.98,15.17,11.846658,11100
45,2016-03-09,15.1,15.21,15.03,15.11,11.799802,26000
46,2016-03-10,15.13,15.22,15.07,15.21,11.877894,3200
47,2016-03-11,15.58,15.7,15.55,15.63,12.205884,9700
48,2016-03-14,15.83,16.030001000000002,15.81,15.98,12.479208,15100
49,2016-03-15,15.83,15.83,15.6,15.66,12.229313000000001,11900
50,2016-03-16,15.59,15.86,15.59,15.84,12.36988,5000
51,2016-03-17,16.25,16.34,16.209999,16.209999,12.658819,4500
52,2016-03-18,16.15,16.35,15.69,15.73,12.283977,22200
53,2016-03-21,15.75,15.94,15.75,15.94,12.447971,4800
54,2016-03-22,15.77,15.91,15.76,15.83,12.36207,16600
55,2016-03-23,15.87,15.93,15.72,15.73,12.283977,5200
56,2016-03-24,15.49,15.67,15.48,15.66,12.229313000000001,6000
57,2016-03-28,15.6,15.83,15.6,15.7,12.26055,5300
58,2016-03-29,15.74,15.96,15.63,15.96,12.463592,11400
59,2016-03-30,16.07,16.18,16.030001000000002,16.059998999999998,12.541683,17700
60,2016-03-31,15.88,15.92,15.75,15.84,12.36988,10200
61,2016-04-01,15.5,15.75,15.47,15.73,12.283977,14600
62,2016-04-04,15.72,15.79,15.66,15.75,12.299596000000001,8900
63,2016-04-05,15.72,15.76,15.64,15.76,12.307405000000001,5200
64,2016-04-06,15.56,15.8,15.53,15.79,12.330833,9800
65,2016-04-07,16.049999,16.16,16.0,16.08,12.557302,24900
66,2016-04-08,16.16,16.389999,16.120001000000002,16.23,12.674438,97300
