Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,3.560000,3.650000,3.560000,3.650000,3.650000,1400
2017-01-04,3.600000,3.600000,3.550000,3.550000,3.550000,2700
2017-01-05,3.650000,3.650000,3.600000,3.600000,3.600000,7900
2017-01-06,3.550000,3.550000,3.530000,3.540000,3.540000,1800
2017-01-09,3.560000,3.600000,3.560000,3.600000,3.600000,3100
2017-01-10,3.560000,3.620000,3.550000,3.550000,3.550000,14600
2017-01-11,3.550000,3.580000,3.500000,3.500000,3.500000,16000
2017-01-12,3.500000,3.560000,3.350000,3.360000,3.360000,8600
2017-01-13,3.350000,3.350000,3.350000,3.350000,3.350000,1900
2017-01-17,3.350000,3.350000,3.350000,3.350000,3.350000,600
2017-01-18,3.350000,3.350000,3.350000,3.350000,3.350000,200
2017-01-19,3.350000,3.370000,3.350000,3.370000,3.370000,4500
2017-01-20,3.390000,3.390000,3.390000,3.390000,3.390000,300
2017-01-23,3.300000,3.300000,3.300000,3.300000,3.300000,300
2017-01-24,3.300000,3.340000,3.250000,3.340000,3.340000,6400
2017-01-25,3.280000,3.350000,3.280000,3.320000,3.320000,1600
2017-01-26,3.250000,3.260000,3.120000,3.260000,3.260000,4100
2017-01-27,3.260000,3.260000,3.150000,3.150000,3.150000,800
2017-01-30,3.350000,3.350000,3.350000,3.350000,3.350000,1100
2017-01-31,3.180000,3.300000,3.160000,3.160000,3.160000,800
2017-02-01,3.160000,3.250000,3.150000,3.150000,3.150000,10400
2017-02-02,3.150000,3.150000,3.140000,3.140000,3.140000,1600
2017-02-03,3.140000,3.150000,3.140000,3.140000,3.140000,5900
2017-02-06,3.060000,3.200000,3.060000,3.200000,3.200000,1300
2017-02-07,3.100000,3.100000,3.050000,3.050000,3.050000,7600
2017-02-08,3.160000,3.160000,3.050000,3.050000,3.050000,3100
2017-02-09,3.050000,3.050000,2.400000,2.850000,2.850000,31400
2017-02-10,2.850000,2.850000,2.700000,2.800000,2.800000,4300
2017-02-13,2.800000,2.800000,2.600000,2.600000,2.600000,4200
2017-02-14,2.720000,2.950000,2.630000,2.670000,2.670000,6000
2017-02-15,2.650000,2.850000,2.430000,2.470000,2.470000,7600
2017-02-16,2.480000,2.500000,2.460000,2.500000,2.500000,4700
2017-02-17,2.500000,2.520000,2.500000,2.520000,2.520000,700
2017-02-21,2.520000,2.520000,2.320000,2.350000,2.350000,4900
2017-02-22,2.350000,2.460000,2.350000,2.460000,2.460000,3000
2017-02-23,2.450000,2.680000,2.140000,2.410000,2.410000,21900
2017-02-24,2.410000,2.410000,2.410000,2.410000,2.410000,0
2017-02-27,2.410000,2.410000,2.410000,2.410000,2.410000,1600
2017-02-28,2.440000,2.490000,2.440000,2.490000,2.490000,2900
2017-03-01,2.540000,2.540000,2.410000,2.410000,2.410000,700
2017-03-02,2.410000,2.650000,2.410000,2.520000,2.520000,4400
2017-03-03,2.520000,2.520000,2.330000,2.330000,2.330000,1500
2017-03-06,2.340000,2.340000,2.340000,2.340000,2.340000,600
2017-03-07,2.340000,2.340000,2.340000,2.340000,2.340000,0
2017-03-08,2.300000,2.440000,2.300000,2.440000,2.440000,1500
2017-03-09,2.440000,2.440000,2.260000,2.260000,2.260000,3800
2017-03-10,2.260000,2.260000,2.100000,2.150000,2.150000,6300
2017-03-13,2.150000,2.150000,2.150000,2.150000,2.150000,200
2017-03-14,2.180000,2.250000,2.150000,2.150000,2.150000,1300
2017-03-15,2.150000,2.150000,2.150000,2.150000,2.150000,2100
2017-03-16,2.150000,2.150000,2.120000,2.120000,2.120000,2700
2017-03-17,2.120000,2.150000,1.780000,1.900000,1.900000,16600
2017-03-20,1.980000,2.140000,1.980000,2.140000,2.140000,8700
