Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,4.880000,4.940000,4.870000,4.930000,4.583290,507800
2017-01-04,4.920000,4.970000,4.870000,4.960000,4.611180,399200
2017-01-05,4.960000,5.010000,4.960000,5.010000,4.657664,364500
2017-01-06,4.920000,4.980000,4.920000,4.950000,4.601883,663500
2017-01-09,4.840000,4.870000,4.820000,4.860000,4.518213,528000
2017-01-10,4.880000,4.900000,4.870000,4.890000,4.546103,185600
2017-01-11,4.790000,4.880000,4.790000,4.860000,4.518213,116200
2017-01-12,4.850000,4.850000,4.820000,4.850000,4.508916,269200
2017-01-13,4.810000,4.840000,4.770000,4.830000,4.490322,720600
2017-01-17,4.900000,4.930000,4.870000,4.920000,4.573993,529800
2017-01-18,4.900000,4.950000,4.890000,4.910000,4.564696,265200
2017-01-19,4.920000,4.970000,4.910000,4.970000,4.620477,290500
2017-01-20,5.050000,5.100000,5.000000,5.080000,4.722741,2619800
2017-01-23,5.080000,5.160000,5.070000,5.140000,4.778522,690400
2017-01-24,5.110000,5.130000,5.090000,5.130000,4.769225,177100
2017-01-25,5.080000,5.110000,5.070000,5.100000,4.741334,123100
2017-01-26,4.990000,5.030000,4.980000,5.030000,4.676258,216800
2017-01-27,4.950000,4.990000,4.950000,4.990000,4.639071,360900
2017-01-30,4.910000,4.940000,4.880000,4.940000,4.592587,304100
2017-01-31,4.930000,4.950000,4.920000,4.950000,4.601883,165900
2017-02-01,4.920000,4.940000,4.900000,4.920000,4.573993,127700
2017-02-02,4.960000,4.980000,4.920000,4.930000,4.583290,344100
2017-02-03,4.930000,4.950000,4.920000,4.940000,4.592587,159500
2017-02-06,4.830000,4.850000,4.820000,4.850000,4.508916,155100
2017-02-07,4.810000,4.820000,4.790000,4.810000,4.471729,116600
2017-02-08,4.820000,4.870000,4.820000,4.860000,4.518213,181300
2017-02-09,4.840000,4.850000,4.820000,4.840000,4.499620,113200
2017-02-10,4.840000,4.870000,4.820000,4.870000,4.527510,149900
2017-02-13,4.880000,4.890000,4.860000,4.870000,4.527510,148800
2017-02-14,4.890000,4.920000,4.870000,4.880000,4.536806,125200
2017-02-15,4.850000,4.900000,4.840000,4.890000,4.546103,139100
2017-02-16,4.850000,4.900000,4.850000,4.890000,4.546103,167300
2017-02-17,4.850000,4.850000,4.790000,4.820000,4.481026,1005200
