Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.455006,9.594423,9.429658,9.556401,8.702334,332327
2017-01-04,9.531052,9.607098,9.467681,9.594423,8.736959,119376
2017-01-05,9.366286,9.391635,9.315589,9.353612,8.517668,84107
2017-01-06,9.264892,9.302915,9.239544,9.239544,8.413795,87184
2017-01-09,9.188847,9.290241,9.188847,9.252218,8.425336,136576
2017-01-10,9.657795,9.873257,9.619772,9.797212,8.921623,188729
2017-01-11,9.632446,9.695817,9.518378,9.683143,8.817749,146517
2017-01-12,9.505703,9.569075,9.480355,9.493029,8.644625,64856
2017-01-13,9.480355,9.505703,9.455006,9.480355,8.633086,60280
2017-01-17,9.416984,9.531052,9.391635,9.493029,8.644625,243406
2017-01-18,9.340938,9.429658,9.328264,9.353612,8.517668,43868
2017-01-19,9.442332,9.480355,9.264892,9.328264,8.494586,238120
2017-01-20,9.252218,9.302915,9.201521,9.277567,8.448420,199617
2017-01-23,9.226869,9.302915,9.226869,9.264892,8.436875,365070
2017-01-24,9.087452,9.176172,9.062104,9.150824,8.333004,80951
2017-01-25,9.062104,9.062104,8.998733,9.062104,8.252213,99730
2017-01-26,9.062104,9.087452,8.973384,9.036755,8.229129,95942
2017-01-27,9.923954,10.000000,9.746515,9.835234,8.956247,117640
2017-01-30,9.442332,9.455006,9.315589,9.378961,8.540752,185336
2017-01-31,9.315589,9.366286,9.264892,9.315589,8.483043,2762210
2017-02-01,9.378961,9.442332,9.378961,9.429658,8.586919,416671
2017-02-02,9.416984,9.455006,9.353612,9.391635,8.552294,334063
2017-02-03,9.353612,9.442332,9.353612,9.391635,8.552294,53257
2017-02-06,9.150824,9.201521,9.138150,9.201521,8.379169,219658
2017-02-07,9.201521,9.264892,9.163498,9.239544,8.413795,64146
2017-02-08,9.290241,9.480355,9.290241,9.442332,8.598460,60358
2017-02-09,9.366286,9.442332,9.366286,9.442332,8.598460,18620
2017-02-10,9.290241,9.455006,9.290241,9.442332,8.598460,44263
2017-02-13,9.340938,9.404309,9.340938,9.404309,8.563835,50259
2017-02-14,9.353612,9.404309,9.302915,9.353612,8.517668,44815
2017-02-15,9.277567,9.378961,9.226869,9.328264,8.494586,98546
2017-02-16,9.226869,9.404309,9.226869,9.378961,8.540752,70852
2017-02-17,9.201521,9.302915,9.201521,9.252218,8.425336,155196
2017-02-21,9.100127,9.125475,9.074778,9.112801,8.298378,83318
2017-02-22,9.138150,9.188847,9.100127,9.138150,8.321464,205456
2017-02-23,9.100127,9.125475,9.062104,9.112801,8.298378,46472
2017-02-24,9.062104,9.074778,8.973384,8.998733,8.194505,92313
2017-02-27,8.897338,8.973384,8.884664,8.922687,8.125257,85922
2017-02-28,8.897338,8.897338,8.833967,8.859316,8.067548,56335
2017-03-01,8.833967,8.910013,8.833967,8.884664,8.090632,51127
2017-03-02,8.770596,8.808619,8.719899,8.732573,7.952132,246562
